id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
223858,M,41,01-01-16,3:45:19 AM
223873,M,35,01-01-16,12:36:42 PM
223874,M,47,01-01-16,12:45:44 PM
223875,F,42,01-01-16,12:54:44 PM
223876,M,49,01-01-16,12:58:38 PM
223886,M,29,01-01-16,2:05:52 PM
223887,F,26,01-01-16,2:13:47 PM
223890,F,41,01-01-16,2:20:23 PM
223896,F,38,01-01-16,2:55:59 PM
223902,F,23,01-01-16,3:45:41 PM
223905,F,26,01-01-16,4:12:00 PM
223907,M,23,01-01-16,4:14:12 PM
223909,M,36,01-01-16,4:31:40 PM
223914,M,32,01-01-16,5:48:43 PM
223916,F,27,01-01-16,5:56:40 PM
223917,M,53,01-01-16,6:01:37 PM
223918,F,20,01-01-16,6:04:21 PM
223925,M,23,01-01-16,7:59:13 PM
223928,F,36,01-01-16,8:32:10 PM
223936,M,22,01-01-16,9:46:27 PM
223938,M,40,01-01-16,9:50:01 PM
223949,F,44,01-01-16,11:49:51 PM
223954,M,25,02-01-16,1:37:43 AM
223959,F,23,02-01-16,2:53:33 AM
223960,M,29,02-01-16,3:56:23 AM
223961,F,34,02-01-16,6:36:44 AM
223962,F,60,02-01-16,9:26:14 AM
223964,M,43,02-01-16,10:12:29 AM
223965,F,62,02-01-16,10:22:53 AM
223972,M,33,02-01-16,10:57:12 AM
223974,M,35,02-01-16,11:08:23 AM
223975,M,33,02-01-16,11:08:50 AM
223979,M,29,02-01-16,11:22:19 AM
223981,F,29,02-01-16,11:27:42 AM
223982,F,46,02-01-16,11:30:55 AM
223983,F,33,02-01-16,11:33:52 AM
223985,F,60,02-01-16,11:45:05 AM
223989,M,41,02-01-16,11:54:43 AM
223991,F,37,02-01-16,12:10:14 PM
223993,M,59,02-01-16,12:19:50 PM
224001,M,70,02-01-16,12:39:15 PM
224007,M,27,02-01-16,12:52:21 PM
224008,M,33,02-01-16,12:52:54 PM
224009,F,27,02-01-16,12:57:47 PM
224013,F,32,02-01-16,1:04:55 PM
224014,F,37,02-01-16,1:06:20 PM
224016,F,37,02-01-16,1:15:23 PM
224021,F,24,02-01-16,1:27:28 PM
224023,M,29,02-01-16,1:34:26 PM
224027,F,32,02-01-16,1:43:28 PM
224028,F,23,02-01-16,1:47:52 PM
224031,F,42,02-01-16,1:59:16 PM
224033,M,39,02-01-16,2:09:09 PM
224040,M,39,02-01-16,2:29:31 PM
224041,M,17,02-01-16,2:34:47 PM
224048,M,27,02-01-16,3:08:30 PM
224049,F,30,02-01-16,3:15:50 PM
224051,M,32,02-01-16,3:19:56 PM
224053,M,27,02-01-16,3:29:36 PM
224060,F,30,02-01-16,4:05:46 PM
224063,F,37,02-01-16,4:33:39 PM
224080,F,64,02-01-16,6:45:00 PM
224082,F,30,02-01-16,7:20:21 PM
224088,F,44,02-01-16,7:53:12 PM
224090,M,50,02-01-16,8:28:57 PM
224096,F,22,02-01-16,10:31:43 PM
224100,F,20,03-01-16,12:10:08 AM
224102,M,28,03-01-16,12:32:43 AM
224109,M,22,03-01-16,1:39:44 AM
224124,F,32,03-01-16,10:55:22 AM
224126,F,32,03-01-16,11:13:44 AM
224128,F,36,03-01-16,11:26:40 AM
224129,F,29,03-01-16,11:35:09 AM
224131,M,32,03-01-16,11:50:00 AM
224132,M,40,03-01-16,11:57:22 AM
