id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
380973,F,49,03-10-18,5:57:40 AM
381008,M,26,02-01-18,5:53:06 AM
624273,M,22,28-09-18,5:57:35 AM
624274,F,24,28-09-18,5:57:35 AM
624275,M,30,05-10-18,5:57:42 AM
624277,M,51,28-09-18,5:57:35 AM
624279,M,34,01-10-18,5:57:38 AM
381317,M,17,14-12-18,5:58:52 AM
381369,M,22,17-05-18,5:55:21 AM
381174,F,17,18-01-18,5:53:22 AM
381215,F,22,22-01-18,5:53:26 AM
381219,F,31,11-04-18,5:54:45 AM
381686,M,47,21-05-18,5:55:25 AM
381762,F,27,12-07-18,5:56:17 AM
381602,F,32,24-07-18,5:56:29 AM
381609,M,30,15-02-18,5:53:50 AM
381626,M,31,01-09-18,5:57:08 AM
381648,F,20,26-10-18,5:58:03 AM
381867,F,40,02-06-18,5:55:37 AM
381869,M,20,06-09-18,5:57:13 AM
381918,F,19,16-02-18,5:53:51 AM
382044,M,30,08-05-18,5:55:12 AM
382080,F,39,02-01-18,5:53:06 AM
381797,M,33,20-09-18,5:57:27 AM
382491,F,47,26-01-18,5:53:30 AM
382155,F,28,03-01-18,5:53:07 AM
382200,M,47,26-10-18,5:58:03 AM
382285,F,43,17-01-18,5:53:21 AM
382290,F,42,27-02-18,5:54:02 AM
382358,M,31,05-06-18,5:55:40 AM
382372,F,20,27-06-18,5:56:02 AM
382390,F,26,22-08-18,5:56:58 AM
382679,M,29,13-07-18,5:56:18 AM
382685,F,20,15-07-18,5:56:20 AM
382739,M,28,13-11-18,5:58:21 AM
382542,M,52,12-09-18,5:57:19 AM
382612,M,33,09-06-18,5:55:44 AM
382616,M,34,08-11-18,5:58:16 AM
382622,M,54,28-02-18,5:54:03 AM
176289,F,32,29-06-18,5:56:04 AM
176347,F,58,27-04-18,5:55:01 AM
177749,M,22,18-12-18,5:58:56 AM
177766,M,39,18-10-18,5:57:55 AM
177792,M,32,01-03-18,5:54:04 AM
177126,M,27,08-05-18,5:55:12 AM
176465,F,27,05-01-18,5:53:09 AM
177887,F,50,03-05-18,5:55:07 AM
176501,F,26,15-05-18,5:55:19 AM
176505,M,29,02-10-18,5:57:39 AM
177271,F,65,15-02-18,5:53:50 AM
177281,M,25,24-08-18,5:57:00 AM
176573,M,28,16-04-18,5:54:50 AM
176611,M,24,28-09-18,5:57:35 AM
177372,M,54,28-06-18,5:56:03 AM
177421,F,26,16-05-18,5:55:20 AM
178137,F,27,21-08-18,5:56:57 AM
177469,F,24,26-03-18,5:54:29 AM
177505,F,25,26-03-18,5:54:29 AM
176827,F,30,08-09-18,5:57:15 AM
176850,M,59,16-08-18,5:56:52 AM
177554,M,47,29-10-18,5:58:06 AM
177605,M,30,25-02-18,5:54:00 AM
